Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	0.876597	-1.29604e-14	0.310979
2	0.917915	-8.1795e-15	0.121044
3	0.0513547	-3.35728e-15	0.0747756
4	0.0698547	-8.60478e-15	0.0458761
5	0.0860563	1.49546e-15	0.0113946
6	0.0188605	-5.10338e-15	0.00559013
7	0.00699261	3.87926e-16	0.00364511
8	0.00512148	-3.41869e-15	0.00199416
9	0.00234842	-1.08518e-14	0.00125292
10	0.00161696	7.00557e-15	0.000723706
11	0.000862877	-3.58673e-15	0.000443637
12	0.000553697	-1.71243e-14	0.000262078
13	0.000316474	-6.84838e-15	0.000158738
14	0.000195609	-4.36457e-17	9.46376e-05
15	0.000115032	-8.7891e-15	5.70155e-05
16	6.99064e-05	-2.16431e-14	3.41206e-05
