Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	0.847271	0	0.310985
2	0.893697	0	0.121039
3	0.0511657	0	0.0747752
4	0.0694951	0	0.045892
5	0.0856438	0	0.0113861
6	0.0181099	0	0.00559736
7	0.00673741	0	0.00364857
8	0.00491053	0	0.00199732
9	0.00225172	0	0.00125451
10	0.00154888	0	0.000724651
11	0.000826162	0	0.000444143
12	0.000530119	0	0.000262348
13	0.000302877	0	0.000158884
14	0.000187216	0	9.47124e-05
15	0.000110065	0	5.70552e-05
16	6.68883e-05	0	3.41401e-05
17	3.97923e-05	0	2.05189e-05
18	2.40054e-05	0	1.22973e-05
19	1.43517e-05	0	7.3837e-06
20	8.63084e-06	0	4.4281e-06
21	5.17071e-06	0	2.65767e-06
22	3.10544e-06	0	1.59428e-06
23	1.86208e-06	0	9.5669e-07
24	1.11771e-06	0	5.73965e-07
25	6.70444e-07	0	3.44398e-07
26	4.02336e-07	0	2.06631e-07
27	2.41374e-07	0	1.23982e-07
28	1.44835e-07	0	7.43879e-08
29	8.6897e-08	0	4.46332e-08
30	5.21399e-08	0	2.67797e-08
