matrix(18600, 1)
( -7.74999e-07 )
( 2.81411e-06 )
( -2.08897e-06 )
( -2.30432e-06 )
( -1.03393e-06 )
( 2.02354e-07 )
( -1.0184e-06 )
( 1.85877e-06 )
( -4.54282e-07 )
( 1.45177e-06 )
( 2.08295e-07 )
( -1.64224e-07 )
( 2.39001e-07 )
( 7.03784e-07 )
( -8.1296e-07 )
( -8.52372e-07 )
( -1.22854e-06 )
( 1.62737e-06 )
( -9.28958e-07 )
( 3.91475e-07 )
( -2.8297e-07 )
( 3.23666e-07 )
( 2.15395e-07 )
( -3.16864e-07 )
( 1.40676e-07 )
( -3.8669e-07 )
( -7.49834e-07 )
( -7.02487e-07 )
( 6.22998e-08 )
( -3.56506e-07 )
( 1.20326e-07 )
( 1.54608e-07 )
( 3.23984e-07 )
( -9.47956e-08 )
( 9.44703e-08 )
( -2.0689e-07 )
( 1.15371e-07 )
( 3.71895e-07 )
( -1.30728e-06 )
( 3.16326e-07 )
( -1.24973e-06 )
( -1.2962e-06 )
( -1.10903e-06 )
( -9.97937e-07 )
( 2.05308e-07 )
( -7.50267e-07 )
( -4.71177e-08 )
( -2.57734e-07 )
( 2.9895e-07 )
( -4.1017e-08 )
( 2.60433e-07 )
( -6.09277e-07 )
( -4.32235e-07 )
( -1.23376e-07 )
( 7.02914e-07 )
( -1.56495e-07 )
( 6.99448e-07 )
( -8.15951e-07 )
( 5.76836e-07 )
( 1.22013e-06 )
( 5.27111e-07 )
( 5.92922e-07 )
( 4.09861e-07 )
( 1.24307e-07 )
( -1.09841e-07 )
( 3.16162e-07 )
( 5.6979e-07 )
( 9.34307e-07 )
( -4.50248e-08 )
( 5.23308e-07 )
( -4.53919e-07 )
( 1.47414e-06 )
( -6.94048e-07 )
( -4.69847e-07 )
( -1.03757e-06 )
( -7.60518e-07 )
( -9.41859e-07 )
( -7.18723e-08 )
( 3.12982e-07 )
( -1.62294e-07 )
( -4.09195e-07 )
( 2.48205e-07 )
( -3.76893e-07 )
( 5.07833e-07 )
( -6.64489e-07 )
( 3.50997e-07 )
( -4.14922e-07 )
( -1.62645e-07 )
( -3.9608e-07 )
( 1.02188e-06 )
( -5.25232e-07 )
( 2.64462e-07 )
( 1.0099e-06 )
( -4.34796e-07 )
( -7.63793e-07 )
( -2.03975e-07 )
( -3.76977e-07 )
( -9.08474e-07 )
( 2.44326e-08 )
( 4.95943e-07 )
( -2.99913e-07 )
( 5.45252e-07 )
( -3.11358e-07 )
( 2.97338e-07 )
( -1.18142e-07 )
( -1.37833e-07 )
( 1.16594e-07 )
( -3.06466e-07 )
( 9.32684e-08 )
( 7.03591e-09 )
( 6.99395e-07 )
( 1.28444e-07 )
( 5.00453e-07 )
( -3.1418e-07 )
( 5.45182e-07 )
( -1.20324e-07 )
( 6.53718e-07 )
( -3.05032e-07 )
( 7.05723e-07 )
( -1.55992e-07 )
( -2.16376e-07 )
( 7.61793e-07 )
( 1.56326e-07 )
( 4.21122e-07 )
( 5.4674e-08 )
( 2.66053e-07 )
( -3.43546e-07 )
( 2.67987e-07 )
( -1.29757e-07 )
( -6.0879e-07 )
( 1.32409e-07 )
( -1.0886e-06 )
( -6.24562e-07 )
( -2.65598e-07 )
( -8.23446e-07 )
( 3.52684e-07 )
