matrix(6000, 1)
( -1.19272e-07 )
( -3.42019e-08 )
( 1.36289e-07 )
( 5.81406e-08 )
( -2.06114e-08 )
( -8.70147e-08 )
( -7.55097e-09 )
( -5.9797e-09 )
( 4.36642e-08 )
( 2.56272e-08 )
( 3.76524e-08 )
( 4.227e-08 )
( 4.28726e-08 )
( 2.00404e-08 )
( 2.20756e-08 )
( 1.52969e-08 )
( 3.6305e-08 )
( 7.22978e-08 )
( 4.53688e-08 )
( 4.88207e-08 )
( 3.54275e-08 )
( 3.30899e-08 )
( 1.32796e-08 )
( 2.16488e-08 )
( 6.54427e-08 )
( 2.20246e-08 )
( 2.02371e-08 )
( 3.84405e-08 )
( 1.01448e-08 )
( 7.21783e-08 )
( 3.64801e-08 )
( 2.99019e-08 )
( 2.15112e-08 )
( 4.52209e-08 )
( 2.03284e-08 )
( 2.08233e-08 )
( 6.95457e-08 )
( 6.21936e-08 )
( 1.67091e-07 )
( 1.64393e-07 )
( 7.01239e-08 )
( 7.49684e-08 )
( 7.89146e-08 )
( 2.94304e-08 )
( 4.31644e-08 )
( 3.79669e-08 )
( 4.95229e-08 )
( 5.17114e-08 )
( 5.50065e-08 )
( 2.74701e-09 )
( -1.27186e-09 )
( -2.48676e-08 )
( -1.97132e-08 )
( -8.90895e-09 )
( 3.65679e-09 )
( 1.48293e-08 )
( 2.85611e-08 )
( 6.35922e-08 )
( 4.0791e-08 )
( 1.54844e-08 )
( 4.56317e-08 )
( -3.81317e-09 )
( 2.37768e-08 )
( 1.58854e-08 )
( 3.66887e-08 )
( 1.40789e-07 )
( 7.51664e-08 )
( 7.66459e-08 )
( 5.21131e-08 )
( 8.00654e-08 )
( 6.65386e-08 )
( 2.75926e-08 )
( -5.71545e-09 )
( 4.08904e-10 )
( 4.10899e-09 )
( 4.63562e-09 )
( 3.98577e-08 )
( -1.67459e-09 )
( -1.25802e-08 )
( -2.6545e-08 )
( 9.69741e-09 )
( -2.5435e-08 )
( -6.96422e-09 )
( -4.38392e-08 )
( 1.71733e-08 )
( 2.01917e-08 )
( 5.99728e-08 )
( 1.47157e-07 )
( 3.9804e-08 )
( 1.55973e-08 )
( 4.76324e-08 )
( 7.52674e-08 )
( 6.55784e-08 )
( 7.46548e-08 )
( 7.44815e-08 )
( 8.51062e-08 )
( 2.80107e-08 )
( 2.40759e-08 )
( 2.80377e-08 )
( -4.97561e-08 )
( -3.54008e-08 )
( 4.6187e-09 )
( -2.79106e-08 )
( 7.20529e-08 )
( 4.91801e-08 )
( 9.1551e-08 )
( 1.02098e-07 )
( 4.13428e-08 )
( 3.59133e-08 )
( 3.0593e-08 )
( 3.09178e-08 )
( -1.54195e-09 )
( 1.4228e-08 )
( 7.04087e-09 )
( 2.07488e-08 )
( 2.28583e-08 )
( 4.93274e-08 )
( 4.19648e-08 )
( 5.22736e-08 )
( 9.15482e-09 )
( 3.18964e-09 )
( -6.4718e-09 )
( -4.1566e-09 )
( -1.03757e-08 )
( -2.59341e-08 )
( -2.40235e-08 )
( -2.56734e-08 )
( 5.7889e-09 )
( 6.40551e-09 )
( 2.01266e-08 )
( 2.78482e-08 )
( -7.78022e-09 )
( 6.20628e-09 )
( 1.47214e-08 )
( 1.53835e-08 )
( 1.59039e-08 )
( 2.55914e-08 )
( 1.58608e-08 )
( 1.75021e-08 )
( 4.29541e-08 )
( -1.02509e-08 )
( -2.29132e-08 )
( 6.69435e-08 )
( 1.50222e-08 )
( 3.01336e-08 )
( 4.60301e-09 )
( 2.2436e-08 )
( -3.57796e-09 )
( 1.29662e-08 )
( 1.55357e-08 )
( -1.10656e-09 )
( 3.57297e-08 )
( 4.79161e-08 )
( 3.41573e-08 )
( 6.41919e-08 )
( 5.48918e-08 )
( 1.69454e-09 )
( 8.05695e-09 )
( 1.95778e-08 )
( 2.88992e-08 )
( 2.39304e-09 )
( 2.92833e-08 )
( 1.81266e-08 )
( 1.97257e-08 )
( 7.79481e-10 )
( 4.39026e-09 )
( 2.16034e-09 )
( -8.18125e-09 )
( 2.32918e-08 )
( -1.16247e-08 )
( -2.13145e-08 )
