matrix(18600, 1)
( -2.58333e-10 )
( 4.69018e-10 )
( -3.48162e-10 )
( -7.68107e-10 )
( -3.44644e-10 )
( 3.37257e-11 )
( -3.39468e-10 )
( 6.19589e-10 )
( -7.57137e-11 )
( 2.41961e-10 )
( 6.94315e-11 )
( -2.73707e-11 )
( 7.96672e-11 )
( 1.17297e-10 )
( -2.70987e-10 )
( -2.84124e-10 )
( -4.09512e-10 )
( 2.71228e-10 )
( -1.54826e-10 )
( 1.30492e-10 )
( -9.43232e-11 )
( 1.07889e-10 )
( 7.17985e-11 )
( -1.05621e-10 )
( 4.68921e-11 )
( -1.28897e-10 )
( -2.49945e-10 )
( -1.17081e-10 )
( 2.07666e-11 )
( -1.18835e-10 )
( 4.01087e-11 )
( 5.1536e-11 )
( 5.39973e-11 )
( -3.15985e-11 )
( 1.57451e-11 )
( -6.89634e-11 )
( 3.84571e-11 )
( 6.19824e-11 )
( -4.35759e-10 )
( 5.2721e-11 )
( -4.16577e-10 )
( -4.32066e-10 )
( -1.84838e-10 )
( -3.32646e-10 )
( 6.84361e-11 )
( -1.25044e-10 )
( -1.57059e-11 )
( -8.59112e-11 )
( 9.96499e-11 )
( -1.36723e-11 )
( 8.6811e-11 )
( -1.01546e-10 )
( -1.44078e-10 )
( -4.11252e-11 )
( 2.34305e-10 )
( -5.21649e-11 )
( 2.33149e-10 )
( -1.35992e-10 )
( 9.61393e-11 )
( 4.0671e-10 )
( 8.78518e-11 )
( 1.97641e-10 )
( 1.3662e-10 )
( 4.14355e-11 )
( -3.66137e-11 )
( 1.05387e-10 )
( 1.8993e-10 )
( 1.55718e-10 )
( -1.50083e-11 )
( 8.72181e-11 )
( -1.51306e-10 )
( 2.4569e-10 )
( -1.15675e-10 )
( -1.56616e-10 )
( -1.72928e-10 )
( -2.53506e-10 )
( -3.13953e-10 )
( -2.39574e-11 )
( 1.04327e-10 )
( -5.40981e-11 )
( -6.81991e-11 )
( 8.27349e-11 )
( -1.25631e-10 )
( 8.46389e-11 )
( -2.21496e-10 )
( 1.16999e-10 )
( -1.38307e-10 )
( -5.42151e-11 )
( -1.32027e-10 )
( 3.40626e-10 )
( -1.75077e-10 )
( 8.81542e-11 )
( 3.36633e-10 )
( -1.44932e-10 )
( -2.54598e-10 )
( -6.79917e-11 )
( -1.25659e-10 )
( -3.02825e-10 )
( 8.14421e-12 )
( 1.65314e-10 )
( -9.9971e-11 )
( 1.81751e-10 )
( -1.03786e-10 )
( 9.91128e-11 )
( -3.93805e-11 )
( -4.59442e-11 )
( 3.88645e-11 )
( -1.02155e-10 )
( 3.10895e-11 )
( 1.17265e-12 )
( 2.33132e-10 )
( 4.28148e-11 )
( 1.66818e-10 )
( -1.04727e-10 )
( 9.08636e-11 )
( -4.01081e-11 )
( 1.08953e-10 )
( -1.01677e-10 )
( 2.35241e-10 )
( -5.19974e-11 )
( -7.21253e-11 )
( 2.53931e-10 )
( 5.21087e-11 )
( 7.01869e-11 )
( 1.82247e-11 )
( 4.43421e-11 )
( -1.14515e-10 )
( 8.93291e-11 )
( -2.16262e-11 )
( -2.0293e-10 )
( 2.20682e-11 )
( -3.62866e-10 )
( -2.08187e-10 )
( -4.42663e-11 )
( -2.74482e-10 )
( 1.17561e-10 )
( -1.75561e-11 )
( 6.40897e-11 )
( -1.36678e-10 )
( 3.72456e-11 )
( 4.1104e-11 )
( -1.36403e-10 )
( -1.10985e-10 )
( -1.48145e-10 )
( -1.88044e-10 )
( 5.35777e-11 )
( 1.16078e-11 )
( -1.02236e-10 )
( -1.14181e-10 )
( -1.97986e-10 )
( 1.69322e-10 )
( -6.45995e-12 )
( 9.43763e-11 )
( 2.6383e-10 )
( -4.64844e-11 )
( 3.13239e-10 )
( -5.57583e-11 )
( 1.22387e-10 )
( -5.1592e-12 )
( -2.464e-10 )
( -1.29291e-10 )
( -1.51708e-10 )
( -3.97075e-11 )
( -4.02731e-11 )
( 2.7212e-11 )
( -4.79454e-12 )
( -1.64705e-13 )
( 3.23767e-12 )
( 5.58573e-11 )
( 2.24125e-10 )
( 1.57899e-10 )
( -7.30207e-11 )
( 3.78668e-11 )
( -2.01043e-10 )
( -1.8334e-10 )
( -1.43384e-10 )
( 7.03673e-10 )
( 2.30618e-11 )
( -4.90428e-11 )
( 1.02394e-11 )
( 6.50626e-11 )
( -3.4627e-11 )
( 1.02781e-10 )
( 6.65027e-11 )
( 1.12583e-10 )
( -2.18278e-10 )
( 9.40538e-11 )
( -4.03539e-11 )
( -4.41947e-11 )
( 7.76153e-11 )
( 1.13931e-10 )
( 5.03324e-11 )
( 6.29971e-11 )
( 1.35041e-11 )
( -1.15352e-10 )
( 1.40519e-10 )
( -2.0437e-10 )
( 2.14689e-10 )
( -1.15675e-10 )
( -1.55351e-10 )
( -5.55532e-11 )
( 1.27071e-11 )
( 5.41596e-11 )
( -1.06313e-10 )
( 3.99696e-11 )
( 1.75365e-10 )
( -1.86778e-10 )
( -7.93114e-11 )
( -1.1848e-10 )
( 6.45058e-12 )
( -1.58106e-10 )
( 9.46707e-11 )
( -2.29439e-10 )
( 6.44489e-12 )
( -1.31548e-10 )
( 1.35587e-10 )
( 3.86267e-11 )
( 4.7364e-11 )
( -1.09772e-10 )
( -1.82076e-10 )
( -2.00818e-10 )
( -2.27045e-11 )
( 3.70642e-11 )
( -4.25851e-11 )
( -6.93927e-11 )
( -1.15742e-11 )
( -6.882e-11 )
( 2.18596e-10 )
( 7.0331e-11 )
( 9.59322e-11 )
( 1.21139e-10 )
( 8.02012e-11 )
( -8.7595e-11 )
( -1.46946e-10 )
( 1.48919e-10 )
( 6.47167e-11 )
( 2.38222e-10 )
( 3.12437e-10 )
( -3.33164e-11 )
( 4.23408e-10 )
( -2.57399e-10 )
( 9.7392e-12 )
( 4.93981e-10 )
( -1.2961e-10 )
( -3.01421e-10 )
( 1.33153e-10 )
( 4.95121e-11 )
( -2.81571e-10 )
( -8.06386e-11 )
( -2.96718e-11 )
( -1.77768e-11 )
( 6.05271e-11 )
( -3.48834e-11 )
( 6.06146e-11 )
( 3.28956e-11 )
( 1.06103e-10 )
( -1.12437e-10 )
( -8.30089e-11 )
( -4.33824e-11 )
( -1.33313e-10 )
( -8.61327e-11 )
( 1.84202e-10 )
( 1.39804e-10 )
( 2.78624e-10 )
( 1.09879e-10 )
( 7.44207e-11 )
( 9.48653e-12 )
( 1.10986e-10 )
( 3.69979e-11 )
( 7.55052e-11 )
( 3.90039e-10 )
( -3.94667e-11 )
( 4.67751e-11 )
( 6.71065e-11 )
( 8.09557e-12 )
( 1.03874e-10 )
( 1.3739e-10 )
( -3.74609e-11 )
( 9.97633e-11 )
( 1.97533e-11 )
( -3.62809e-11 )
( 9.18353e-11 )
( -1.9951e-11 )
( 4.82011e-11 )
( 6.06389e-11 )
( 5.243e-11 )
( 2.19241e-11 )
( 7.03408e-12 )
( -5.38424e-11 )
( -1.11546e-10 )
( -2.389e-12 )
( 5.21659e-11 )
( -6.75147e-11 )
( 1.38956e-10 )
( -8.59897e-11 )
( 6.18799e-11 )
( 1.34855e-10 )
( -1.49937e-10 )
( -3.44411e-11 )
( -3.96124e-11 )
( -3.48835e-10 )
( -5.49472e-11 )
( 5.95705e-11 )
( -2.3078e-10 )
( 1.92897e-10 )
( 1.36621e-11 )
( 2.71418e-10 )
( -2.71715e-10 )
( 8.74214e-11 )
( 1.45588e-10 )
( 2.92142e-11 )
( -1.96894e-11 )
( -2.13975e-10 )
( -3.71626e-10 )
( -1.15612e-11 )
( -1.72839e-10 )
( 7.31085e-11 )
( -2.20999e-11 )
( -6.08082e-11 )
( -5.20808e-11 )
( 7.58623e-11 )
( 4.65123e-11 )
( 2.48881e-13 )
( -3.53918e-11 )
( 2.34744e-11 )
( -2.05528e-10 )
( 7.64735e-11 )
( 7.97615e-11 )
( -3.25013e-11 )
( 3.62512e-11 )
( -1.8672e-10 )
( 1.07157e-10 )
( -2.60796e-11 )
( -2.5175e-10 )
( 3.56209e-11 )
( -1.85967e-10 )
( -1.15999e-10 )
( -6.08047e-11 )
( 1.54774e-10 )
( -1.97945e-11 )
( 4.25788e-11 )
( 1.7102e-10 )
( -2.21031e-10 )
( -1.08223e-10 )
( -3.05689e-10 )
( 3.38128e-10 )
( 4.12188e-12 )
( 2.22584e-11 )
( 3.70428e-10 )
( -1.78336e-11 )
( 6.07941e-10 )
( 4.19114e-11 )
( 6.4662e-11 )
( 2.91648e-11 )
( -2.03699e-10 )
( -1.12429e-10 )
( -9.21141e-11 )
( -1.0044e-11 )
( 5.35122e-11 )
( -3.67199e-11 )
( 5.94991e-11 )
( 1.2986e-10 )
( 2.97368e-10 )
( 1.28322e-10 )
( -6.02589e-11 )
( 1.17791e-10 )
( 5.54597e-11 )
( -2.74165e-11 )
( -2.69754e-13 )
( 2.52776e-10 )
( -2.48993e-11 )
