matrix(750, 1)
( -0.253188 )
( -0.549842 )
( -0.359818 )
( -0.636388 )
( -0.532188 )
( -0.247506 )
( -0.973119 )
( -0.998451 )
( -1.19473 )
( -0.620356 )
( -1.19388 )
( -1.08344 )
( -1.06677 )
( -0.799801 )
( -0.782341 )
( -1.02523 )
( -0.949015 )
( -1.55639 )
( -0.483552 )
( -1.46015 )
( -0.959148 )
( 0.00328997 )
( -0.221097 )
( -0.352034 )
( -1.4273 )
( -0.193996 )
( -0.604502 )
( -0.337812 )
( -0.990011 )
( -1.50976 )
( -0.89318 )
( -0.464367 )
( -0.933823 )
( -1.44499 )
( -1.27501 )
( -1.31582 )
( -1.8762 )
( -1.87883 )
( -2.25751 )
( -2.24007 )
( -1.40997 )
( -1.77271 )
( -1.76133 )
( -0.220751 )
( -0.34524 )
( -0.625525 )
( -0.179677 )
( -0.780659 )
( -0.787399 )
( -0.362328 )
( -0.346815 )
( -0.510104 )
( -0.500106 )
( -0.243979 )
( -0.34597 )
( -0.558379 )
( -0.654241 )
( -1.4968 )
( -0.86242 )
( 0.205018 )
( -0.195279 )
( 0.232329 )
( -0.00770922 )
( 0.373909 )
( -0.20099 )
( -1.78926 )
( 2.01859e-05 )
( -0.741102 )
( 0.203786 )
( -0.401465 )
( 0.219804 )
( 0.363804 )
( 0.493465 )
( 0.966912 )
( 0.946431 )
( 0.648139 )
( 0.865535 )
( -0.304618 )
( 0.35354 )
( -0.10344 )
( 0.006576 )
( -0.236571 )
( -0.538942 )
( -0.329612 )
( -0.626928 )
( -0.848343 )
( -1.49975 )
( -1.76348 )
( -0.203291 )
( -0.203196 )
( 0.0050351 )
( -0.765929 )
( 0.0186935 )
( 0.198741 )
( 0.206506 )
( -0.388444 )
( 0.200018 )
( 0.220002 )
( 0.350081 )
( 0.0734909 )
( 0.0719403 )
( -0.0902207 )
( -0.0898779 )
( -0.430833 )
( -0.435763 )
( -1.35292 )
( -1.34928 )
( -0.665791 )
( -0.680634 )
( -0.431666 )
( -0.423049 )
( -0.298377 )
( -0.383655 )
( -0.387773 )
( 0.472678 )
( 0.961637 )
( 0.640925 )
( 0.931702 )
( 0.86736 )
( -0.104402 )
( 0.33839 )
( -0.459187 )
( -0.468267 )
( -0.743767 )
( -0.745355 )
( 0.448717 )
( 0.437601 )
( 0.8679 )
( 0.754813 )
( 1.21654 )
( 0.0955427 )
( 0.504122 )
( 0.460476 )
( 0.360779 )
( 0.299385 )
( 0.630862 )
( 0.374059 )
( 0.811669 )
( 0.381125 )
( 0.306603 )
( 0.416119 )
( 0.261381 )
( 0.744022 )
( -0.0175365 )
( 0.675264 )
( 1.10289 )
( 1.45474 )
( 0.640086 )
( 1.46124 )
( 1.21253 )
( 1.77881 )
( 2.26449 )
( 1.7666 )
( 1.54653 )
( 1.48865 )
( 1.88426 )
( 1.33952 )
( -0.286954 )
( 0.448958 )
( -0.335511 )
( 0.548773 )
( -0.506484 )
( 0.0864543 )
( 0.257853 )
( 0.554303 )
( 1.00026 )
( 0.809273 )
( 1.00927 )
( 1.3062 )
( 0.529743 )
( 0.231771 )
( -0.0731804 )
( -1.208 )
( -0.44036 )
( -0.856014 )
( 0.341284 )
( 0.836796 )
( 1.18067 )
( 0.70663 )
( 0.0895584 )
( 0.437511 )
( 0.488245 )
( 0.304163 )
( 0.279834 )
( 0.365661 )
( 0.380389 )
( 0.261426 )
( 0.413336 )
( 0.731321 )
( 0.653421 )
( -0.0178981 )
( 0.339833 )
( 0.597488 )
( 0.758724 )
( 1.39121 )
( 1.76581 )
( 1.44435 )
( 1.75413 )
( 2.24562 )
( 1.51717 )
( 1.87698 )
( 1.47528 )
( -0.279615 )
( 1.34557 )
( -0.321206 )
( 0.42612 )
( 0.541929 )
( 0.101755 )
( -0.520386 )
( 1.03567 )
( 0.608474 )
( 1.16326 )
( 1.32934 )
( 1.37006 )
( 1.84586 )
( 1.84672 )
( 2.02421 )
( 2.00304 )
( 0.944141 )
( 0.93635 )
( 0.388421 )
( 0.381929 )
( 0.00292391 )
( -0.00916977 )
( -0.389309 )
( -0.406968 )
( -0.949854 )
( -0.960444 )
( -2.01082 )
( -2.02185 )
( -1.19457 )
( -1.84346 )
( -1.84878 )
( 0.534516 )
( 0.977769 )
( 1.01691 )
( 0.774181 )
( 1.30058 )
( 0.243217 )
( 0.496075 )
( -0.0728879 )
( -0.864551 )
( -0.437753 )
( -1.35585 )
( -1.3586 )
( -0.813163 )
( -0.784923 )
( 0.804078 )
( 0.787839 )
( 0.813033 )
( 0.872525 )
( 1.39218 )
( 0.750753 )
( 1.85968 )
( 1.19929 )
( 0.0918508 )
( 0.459526 )
( 0.358455 )
( 0.382012 )
( 0.298511 )
( 0.501855 )
( 2.03539 )
( 0.314152 )
( 0.947248 )
( 0.415172 )
( 0.400606 )
( 0.26607 )
( 0.622658 )
( 0.798399 )
( 1.10208 )
( 1.7752 )
( 1.44159 )
( 0.387117 )
( 0.737147 )
( 0.657856 )
( 2.27692 )
( 1.34374 )
( 1.78556 )
( 0.000558808 )
( 0.00128478 )
( -0.263938 )
( -0.397857 )
( 0.43717 )
( -0.942664 )
( -0.310511 )
( 0.645575 )
( 1.22608 )
( 0.258972 )
( 1.01826 )
( 0.559241 )
( 1.46264 )
( 1.55203 )
( 1.88339 )
( 0.814006 )
( 1.3305 )
( 1.03279 )
( 1.49619 )
( 0.57348 )
( 0.0745093 )
( 0.523765 )
( -0.0736562 )
( 0.250606 )
( -0.499036 )
( -2.03015 )
( -1.19571 )
( -1.85495 )
( -0.449587 )
( -1.38049 )
( -0.866898 )
( -0.813396 )
( 0.235336 )
( 0.789721 )
( 1.34031 )
( 0.82045 )
( 0.715735 )
( 1.16537 )
( 1.84839 )
( 2.0062 )
( 0.447561 )
( 0.487888 )
( 0.366971 )
( 0.969221 )
( 0.289944 )
( 0.410247 )
( 0.265333 )
( 0.381435 )
( 0.0773939 )
( 0.337807 )
( 0.277215 )
( 0.758437 )
( 0.372267 )
( 1.76921 )
( 0.654094 )
( 0.737252 )
( 2.23147 )
( 1.76808 )
( 1.33255 )
( 0.000445821 )
( -0.000980532 )
( -0.381543 )
( -0.266898 )
( 0.4273 )
( -0.29145 )
( -0.968806 )
( 0.58547 )
( 1.04308 )
( 1.37927 )
( 1.17509 )
( 1.4375 )
( 0.973972 )
( 1.88547 )
( 1.50133 )
( 0.77943 )
( 1.00331 )
( 1.28569 )
( 1.50155 )
( 0.0940853 )
( 0.540911 )
( 0.50285 )
( 0.251401 )
( -0.078841 )
( -2.00601 )
( -0.492861 )
( -1.85551 )
( -1.17722 )
( -0.437998 )
( -0.844199 )
( -1.34706 )
( 0.590441 )
( 0.239263 )
( 0.521315 )
( 0.802978 )
( 0.811724 )
( 1.38557 )
( 1.36607 )
( 1.87319 )
( 1.85808 )
( 2.02836 )
( 2.02054 )
( 0.956168 )
( 0.963333 )
( 0.410787 )
( 0.392099 )
( 0.0107683 )
( -0.000480967 )
( -0.386303 )
( -0.381737 )
( -0.935022 )
( -0.944092 )
( -2.00418 )
( -2.02265 )
( -1.84532 )
( -1.85511 )
( -1.37574 )
( -1.34076 )
( -0.792618 )
( -0.811009 )
( -0.812147 )
( 0.454583 )
( 0.870759 )
( 0.448135 )
( -0.248415 )
( 0.0788241 )
( -0.357006 )
( -0.071442 )
( -0.572744 )
( 0.0826167 )
( 1.20923 )
( -0.0593945 )
( 0.516594 )
( -0.432755 )
( 0.342911 )
( -0.439981 )
( -0.665903 )
( -0.890174 )
( 0.199573 )
( -0.209019 )
( -0.199722 )
( -1.49882 )
( -1.78813 )
( -1.34334 )
( -0.000557218 )
( -0.657456 )
( -0.738148 )
( -1.33898 )
( 0.290812 )
( -0.674209 )
( 0.0196025 )
( -0.413926 )
( -0.259564 )
( -0.414836 )
( 0.228895 )
( 0.365502 )
( 0.365494 )
( 0.982762 )
( 0.493746 )
( -0.000665133 )
( 0.198439 )
( 0.207745 )
( 0.955645 )
( 0.888711 )
( 0.664538 )
( -0.388351 )
( -0.298657 )
( -0.381225 )
( 0.357038 )
( -0.458069 )
( -0.0914453 )
( -0.380265 )
( -0.304783 )
( -0.459446 )
( -0.50282 )
( -0.749209 )
( -1.21651 )
( -0.754141 )
( -0.87104 )
( 0.434702 )
( 0.449531 )
( 0.873686 )
( 1.21067 )
( 0.0798563 )
( 0.0741702 )
( -0.0950718 )
( 0.527346 )
( -0.101349 )
( -0.428286 )
( -0.425971 )
( 0.32408 )
( -0.245843 )
( -0.341564 )
( -0.539327 )
( -0.858093 )
( -1.49887 )
( -0.204774 )
( -1.33441 )
( -1.77002 )
( -0.000678451 )
( -0.739712 )
( -0.656336 )
( 0.282259 )
( -1.34777 )
( 0.0191929 )
( -0.654532 )
( -0.41291 )
( -0.415586 )
( -0.26183 )
( -0.626196 )
( 0.185366 )
( -0.196368 )
( 0.344754 )
( 2.84913e-05 )
( 0.951903 )
( 0.204977 )
( 0.198778 )
( 0.918214 )
( 0.64511 )
( 0.864401 )
( -0.377358 )
( -0.372191 )
( -0.283249 )
( 0.341947 )
( -0.0821316 )
( -0.454111 )
( -0.304506 )
( -0.371141 )
( -0.492702 )
( -0.445241 )
( -0.727782 )
( -0.731281 )
( -1.19332 )
( 0.210028 )
( 0.336893 )
( 0.46231 )
( -0.846979 )
( 0.77433 )
( 0.761642 )
( 0.470433 )
( 0.477473 )
( 0.388568 )
( 0.388165 )
( 0.426339 )
( 0.434326 )
( 0.667803 )
( 0.684474 )
( 1.35446 )
( 1.35892 )
( 0.437979 )
( 0.433513 )
( 0.0923431 )
( 0.0912515 )
( -0.0715667 )
( -0.0739947 )
( -0.452003 )
( -0.453778 )
